date,datetime,SACTMIN,SPOSTMIN
07/01/2018,2018-07-01 15:58:07,,50
07/01/2018,2018-07-01 16:02:08,,50
07/01/2018,2018-07-01 16:09:07,,40
07/01/2018,2018-07-01 16:16:08,,45
07/01/2018,2018-07-01 16:23:06,,45
07/01/2018,2018-07-01 16:29:06,,45
07/01/2018,2018-07-01 16:31:29,,45
07/01/2018,2018-07-01 16:31:58,43,
07/01/2018,2018-07-01 16:37:07,,45
07/01/2018,2018-07-01 16:44:06,,45
07/01/2018,2018-07-01 16:51:07,,45
07/01/2018,2018-07-01 16:58:08,,45
07/01/2018,2018-07-01 17:02:07,,45
07/01/2018,2018-07-01 17:04:13,38,
07/01/2018,2018-07-01 17:09:06,,55
07/01/2018,2018-07-01 17:16:08,,55
07/01/2018,2018-07-01 17:23:06,,55
07/01/2018,2018-07-01 17:29:06,,45
07/01/2018,2018-07-01 17:37:06,,45
07/01/2018,2018-07-01 17:44:07,,35
07/01/2018,2018-07-01 17:44:49,,35
07/01/2018,2018-07-01 17:44:58,43,
07/01/2018,2018-07-01 17:51:07,,40
07/01/2018,2018-07-01 17:58:07,,45
07/01/2018,2018-07-01 18:02:07,,45
07/01/2018,2018-07-01 18:04:04,,45
07/01/2018,2018-07-01 18:09:05,,45
07/01/2018,2018-07-01 18:16:08,,55
07/01/2018,2018-07-01 18:23:07,,55
07/01/2018,2018-07-01 18:29:07,,55
07/01/2018,2018-07-01 18:37:07,,55
07/01/2018,2018-07-01 18:44:07,,55
07/01/2018,2018-07-01 18:51:07,,40
07/01/2018,2018-07-01 18:58:07,,40
07/01/2018,2018-07-01 19:02:07,,40
07/01/2018,2018-07-01 19:09:06,,50
07/01/2018,2018-07-01 19:16:08,,50
07/01/2018,2018-07-01 19:23:07,,50
07/01/2018,2018-07-01 19:29:07,,50
07/01/2018,2018-07-01 19:37:06,,50
07/01/2018,2018-07-01 19:44:07,,65
07/01/2018,2018-07-01 19:51:07,,65
07/01/2018,2018-07-01 19:58:08,,65
07/01/2018,2018-07-01 20:02:07,,75
07/01/2018,2018-07-01 20:09:07,,75
07/01/2018,2018-07-01 20:16:08,,55
07/01/2018,2018-07-01 20:23:07,,55
07/01/2018,2018-07-01 20:29:07,,45
07/01/2018,2018-07-01 20:30:37,,45
07/01/2018,2018-07-01 20:30:54,24,
07/01/2018,2018-07-01 20:37:07,,45
07/01/2018,2018-07-01 20:44:06,,45
07/01/2018,2018-07-01 20:51:06,,45
07/01/2018,2018-07-01 20:58:08,,45
07/01/2018,2018-07-01 21:02:07,,45
07/01/2018,2018-07-01 21:09:06,,45
07/01/2018,2018-07-01 21:16:07,,45
07/01/2018,2018-07-01 21:23:06,,45
07/01/2018,2018-07-01 21:29:07,,45
07/01/2018,2018-07-01 21:37:06,,55
07/01/2018,2018-07-01 21:44:06,,55
07/01/2018,2018-07-01 21:51:08,,55
07/01/2018,2018-07-01 21:58:08,,55
07/01/2018,2018-07-01 22:02:07,,55
07/01/2018,2018-07-01 22:09:06,,55
07/01/2018,2018-07-01 22:16:07,,30
07/01/2018,2018-07-01 22:23:06,,40
07/01/2018,2018-07-01 22:29:07,,40
07/01/2018,2018-07-01 22:37:07,,-999
07/01/2018,2018-07-01 22:44:06,,-999
07/01/2018,2018-07-01 22:51:08,,-999
07/01/2018,2018-07-01 22:58:07,,-999
07/01/2018,2018-07-01 23:02:07,,-999
07/01/2018,2018-07-01 23:09:06,,-999
07/02/2018,2018-07-02 06:16:07,,-999
07/02/2018,2018-07-02 06:23:06,,-999
07/02/2018,2018-07-02 06:29:07,,-999
07/02/2018,2018-07-02 06:37:06,,-999
07/02/2018,2018-07-02 06:44:06,,-999
07/02/2018,2018-07-02 06:51:07,,5
07/02/2018,2018-07-02 06:58:07,,15
07/02/2018,2018-07-02 07:02:07,,15
07/02/2018,2018-07-02 07:09:07,,35
07/02/2018,2018-07-02 07:16:07,,50
07/02/2018,2018-07-02 07:23:06,,60
07/02/2018,2018-07-02 07:29:07,,65
07/02/2018,2018-07-02 07:31:15,18,
07/02/2018,2018-07-02 07:33:49,,40
07/02/2018,2018-07-02 07:37:06,,40
07/02/2018,2018-07-02 07:44:08,,50
07/02/2018,2018-07-02 07:45:29,23,
07/02/2018,2018-07-02 07:51:08,,50
07/02/2018,2018-07-02 07:51:52,,40
07/02/2018,2018-07-02 07:58:07,,40
07/02/2018,2018-07-02 08:02:23,,40
07/02/2018,2018-07-02 08:09:06,,65
07/02/2018,2018-07-02 08:16:11,,50
07/02/2018,2018-07-02 08:17:13,,50
07/02/2018,2018-07-02 08:23:07,,80
07/02/2018,2018-07-02 08:29:05,,80
07/02/2018,2018-07-02 08:37:07,,80
07/02/2018,2018-07-02 08:44:06,,80
07/02/2018,2018-07-02 08:51:06,,80
07/02/2018,2018-07-02 08:58:07,,80
07/02/2018,2018-07-02 09:02:07,,80
07/02/2018,2018-07-02 09:09:07,,80
07/02/2018,2018-07-02 09:16:07,,80
07/02/2018,2018-07-02 09:23:06,,55
07/02/2018,2018-07-02 09:29:06,,60
07/02/2018,2018-07-02 09:37:06,,70
07/02/2018,2018-07-02 09:44:08,,70
07/02/2018,2018-07-02 09:51:07,,45
07/02/2018,2018-07-02 09:58:07,,80
07/02/2018,2018-07-02 10:02:07,,65
07/02/2018,2018-07-02 10:09:06,,50
07/02/2018,2018-07-02 10:16:07,,50
07/02/2018,2018-07-02 10:19:29,,50
07/02/2018,2018-07-02 10:23:07,,50
07/02/2018,2018-07-02 10:29:07,,50
07/02/2018,2018-07-02 10:37:07,,50
07/02/2018,2018-07-02 10:44:06,,50
07/02/2018,2018-07-02 10:51:08,,50
07/02/2018,2018-07-02 10:58:07,,50
07/02/2018,2018-07-02 11:02:06,,50
07/02/2018,2018-07-02 11:09:13,,50
07/02/2018,2018-07-02 11:16:07,,50
07/02/2018,2018-07-02 11:23:06,,50
07/02/2018,2018-07-02 11:29:06,,50
07/02/2018,2018-07-02 11:37:06,,90
07/02/2018,2018-07-02 11:44:07,,90
07/02/2018,2018-07-02 11:51:06,,90
07/02/2018,2018-07-02 11:58:07,,90
07/02/2018,2018-07-02 12:02:08,,90
07/02/2018,2018-07-02 12:09:06,,90
07/02/2018,2018-07-02 12:16:06,,90
07/02/2018,2018-07-02 12:23:06,,90
07/02/2018,2018-07-02 12:29:07,,60
07/02/2018,2018-07-02 12:37:06,,45
07/02/2018,2018-07-02 12:44:12,,45
07/02/2018,2018-07-02 12:51:06,,45
07/02/2018,2018-07-02 12:58:08,,50
07/02/2018,2018-07-02 13:02:07,,50
07/02/2018,2018-07-02 13:09:07,,50
07/02/2018,2018-07-02 13:16:08,,35
07/02/2018,2018-07-02 13:16:35,,35
07/02/2018,2018-07-02 13:19:56,,90
07/02/2018,2018-07-02 13:23:07,,90
07/02/2018,2018-07-02 13:29:06,,90
07/02/2018,2018-07-02 13:37:07,,90
07/02/2018,2018-07-02 13:44:06,,90
07/02/2018,2018-07-02 13:51:07,,90
07/02/2018,2018-07-02 13:58:08,,90
07/02/2018,2018-07-02 14:02:06,,90
07/02/2018,2018-07-02 14:09:07,,90
07/02/2018,2018-07-02 14:16:06,,90
07/02/2018,2018-07-02 14:23:07,,90
07/02/2018,2018-07-02 14:29:06,,90
07/02/2018,2018-07-02 14:37:06,,90
07/02/2018,2018-07-02 14:44:06,,90
07/02/2018,2018-07-02 14:51:06,,90
07/02/2018,2018-07-02 14:58:06,,90
07/02/2018,2018-07-02 15:02:07,,90
07/02/2018,2018-07-02 15:09:06,,90
07/02/2018,2018-07-02 15:16:08,,90
07/02/2018,2018-07-02 15:23:07,,90
07/02/2018,2018-07-02 15:29:06,,90
07/02/2018,2018-07-02 15:37:06,,110
07/02/2018,2018-07-02 15:44:06,,110
07/02/2018,2018-07-02 15:51:07,,110
07/02/2018,2018-07-02 15:58:08,,110
07/02/2018,2018-07-02 16:02:07,,90
07/02/2018,2018-07-02 16:09:06,,90
07/02/2018,2018-07-02 16:16:07,,110
07/02/2018,2018-07-02 16:23:06,,110
07/02/2018,2018-07-02 16:29:06,,-999
07/02/2018,2018-07-02 16:37:07,,110
07/02/2018,2018-07-02 16:44:07,,110
07/02/2018,2018-07-02 16:51:06,,-999
07/02/2018,2018-07-02 16:58:09,,-999
07/02/2018,2018-07-02 17:02:08,,110
07/02/2018,2018-07-02 17:09:07,,110
07/02/2018,2018-07-02 17:16:08,,110
07/02/2018,2018-07-02 17:23:07,,110
07/02/2018,2018-07-02 17:29:07,,110
07/02/2018,2018-07-02 17:37:07,,110
07/02/2018,2018-07-02 17:44:06,,110
07/02/2018,2018-07-02 17:51:08,,110
